Ensembl Gene Record	Common Gene Name	Read Count	Log Count
ENSG00000000419.12	DPM1	521	6.255750041753367
ENSG00000000457.13	SCYL3	234	5.455321115357702
ENSG00000000460.16	C1orf112	206	5.327876168789581
ENSG00000000938.12	FGR	62	4.127134385045092
ENSG00000000971.15	CFH	4090	8.316300249036848
ENSG00000001036.13	FUCA2	1148	7.045776576879511
ENSG00000001084.12	GCLC	419	6.037870919922137
ENSG00000001167.14	NFYA	385	5.953243334287785
ENSG00000001460.17	STPG1	176	5.170483995038151
ENSG00000001461.16	NIPAL3	655	6.484635235635252
ENSG00000001497.16	LAS1L	908	6.811244378601294
ENSG00000001561.6	ENPP4	671	6.508769136971682
ENSG00000001617.11	SEMA3F	590	6.380122536899765
ENSG00000001626.15	CFTR	15	2.70805020110221
ENSG00000001629.9	ANKIB1	976	6.883462586413092
ENSG00000001630.16	CYP51A1	202	5.308267697401205
ENSG00000001631.15	KRIT1	277	5.6240175061873385
ENSG00000002016.17	RAD52	342	5.834810737062605
ENSG00000002330.13	BAD	254	5.537334267018537
ENSG00000002549.12	LAP3	1612	7.385230923066573
ENSG00000002587.9	HS3ST1	100	4.605170185988092
ENSG00000002726.20	AOC1	833	6.725033642166843
ENSG00000002746.14	HECW1	35	3.5553480614894135
ENSG00000002822.15	MAD1L1	385	5.953243334287785
ENSG00000002834.17	LASP1	10432	9.252633284166434
ENSG00000002919.14	SNX11	98	4.584967478670572
ENSG00000002933.8	TMEM176A	111	4.709530201312334
ENSG00000003056.7	M6PR	1459	7.285506548522785
ENSG00000003137.8	CYP26B1	3746	8.228443883004033
ENSG00000003147.18	ICA1	166	5.111987788356544
ENSG00000003249.13	DBNDD1	143	4.962844630259907
ENSG00000003393.14	ALS2	553	6.315358001522335
ENSG00000003400.14	CASP10	365	5.8998973535824915
ENSG00000003402.19	CFLAR	1867	7.532088143541722
ENSG00000003436.15	TFPI	6	1.791759469228055
ENSG00000003509.15	NDUFAF7	205	5.3230099791384085
ENSG00000003756.16	RBM5	2226	7.70796153183549
ENSG00000003987.13	MTMR7	22	3.091042453358316
ENSG00000003989.17	SLC7A2	284	5.648974238161206
ENSG00000004059.10	ARF5	673	6.511745329644728
ENSG00000004139.13	SARM1	746	6.61472560020376
ENSG00000004142.11	POLDIP2	772	6.648984550024776
ENSG00000004399.12	PLXND1	507	6.2285110035911835
ENSG00000004455.16	AK2	3106	8.041091003708633
ENSG00000004468.12	CD38	9	2.1972245773362196
ENSG00000004478.7	FKBP4	8075	8.996528148090857
ENSG00000004487.16	KDM1A	3067	8.028455164114252
ENSG00000004534.14	RBM6	3226	8.078998258685154
ENSG00000004660.14	CAMKK1	142	4.955827057601261
ENSG00000004700.15	RECQL	560	6.327936783729195
ENSG00000004766.16	VPS50	332	5.805134968916488
ENSG00000004777.18	ARHGAP33	156	5.049856007249537
ENSG00000004779.9	NDUFAB1	479	6.171700597410915
ENSG00000004799.7	PDK4	944	6.8501261661455
ENSG00000004838.13	ZMYND10	206	5.327876168789581
ENSG00000004864.13	SLC25A13	788	6.669498089857879
ENSG00000004866.20	ST7	271	5.602118820879701
ENSG00000004897.11	CDC27	596	6.39024066706535
ENSG00000004961.14	HCCS	631	6.447305862541213
ENSG00000004975.11	DVL2	1409	7.25063551189868
ENSG00000005001.9	PRSS22	1056	6.962243464266207
ENSG00000005007.12	UPF1	1491	7.307202314764738
ENSG00000005020.12	SKAP2	245	5.501258210544727
ENSG00000005022.5	SLC25A5	7325	8.899048433885268
ENSG00000005059.15	MCUB	77	4.343805421853684
ENSG00000005075.15	POLR2J	368	5.908082938168931
ENSG00000005100.12	DHX33	470	6.152732694704104
ENSG00000005102.12	MEOX1	36	3.58351893845611
ENSG00000005108.15	THSD7A	174	5.159055299214529
ENSG00000005156.11	LIG3	501	6.2166061010848646
ENSG00000005175.9	RPAP3	473	6.159095388491933
ENSG00000005187.11	ACSM3	228	5.429345628954441
ENSG00000005189.19	REXO5	47	3.8501476017100584
ENSG00000005194.14	CIAPIN1	461	6.133398042996649
ENSG00000005206.16	SPPL2B	591	6.3818160174060985
ENSG00000005238.19	FAM214B	130	4.867534450455582
ENSG00000005243.9	COPZ2	1	0.0
ENSG00000005249.12	PRKAR2B	172	5.147494476813453
ENSG00000005302.18	MSL3	490	6.194405391104672
ENSG00000005339.14	CREBBP	1176	7.069874128458572
ENSG00000005379.16	TSPOAP1	538	6.2878585601617845
ENSG00000005421.8	PON1	6	1.791759469228055
ENSG00000005436.13	GCFC2	322	5.7745515455444085
ENSG00000005448.16	WDR54	205	5.3230099791384085
ENSG00000005469.11	CROT	93	4.532599493153256
ENSG00000005471.17	ABCB4	14	2.6390573296152584
ENSG00000005483.20	KMT2E	2556	7.846198815497425
ENSG00000005486.16	RHBDD2	1223	7.109062135687172
ENSG00000005700.14	IBTK	591	6.3818160174060985
ENSG00000005801.17	ZNF195	1235	7.118826249062078
ENSG00000005810.17	MYCBP2	835	6.727431724850855
ENSG00000005812.10	FBXL3	852	6.747586526829315
ENSG00000005844.17	ITGAL	18	2.8903717578961645
ENSG00000005882.11	PDK2	261	5.564520407322694
ENSG00000005884.17	ITGA3	6320	8.751474487140904
ENSG00000005889.15	ZFX	579	6.361302477572996
ENSG00000005893.15	LAMP2	1889	7.543802867501509
ENSG00000005961.18	ITGA2B	69	4.23410650459726
ENSG00000006007.11	GDE1	835	6.727431724850855
ENSG00000006015.17	REX1BD	538	6.2878585601617845
ENSG00000006016.10	CRLF1	61	4.110873864173311
ENSG00000006025.11	OSBPL7	650	6.476972362889683
ENSG00000006042.11	TMEM98	21	3.044522437723423
ENSG00000006047.12	YBX2	135	4.90527477843843
ENSG00000006062.15	MAP3K14	455	6.12029741895095
ENSG00000006118.14	TMEM132A	1310	7.177782416195197
ENSG00000006125.17	AP2B1	1924	7.562161631225652
ENSG00000006194.9	ZNF263	422	6.045005314036012
ENSG00000006210.6	CX3CL1	345	5.84354441703136
ENSG00000006282.20	SPATA20	1102	7.004881989712859
ENSG00000006283.17	CACNA1G	2	0.6931471805599453
ENSG00000006327.13	TNFRSF12A	3074	8.03073492409854
ENSG00000006432.15	MAP3K9	1710	7.444248649496705
ENSG00000006451.7	RALA	1245	7.126890808898808
ENSG00000006453.13	BAIAP2L1	1434	7.2682230211595655
ENSG00000006459.10	KDM7A	373	5.921578419643816
ENSG00000006530.16	AGK	250	5.521460917862246
ENSG00000006534.15	ALDH3B1	1122	7.022868086082641
ENSG00000006555.10	TTC22	306	5.723585101952381
ENSG00000006576.16	PHTF2	557	6.322565239927284
ENSG00000006607.13	FARP2	934	6.839476438228843
ENSG00000006611.15	USH1C	1	0.0
ENSG00000006625.17	GGCT	947	6.853299093186078
ENSG00000006634.7	DBF4	270	5.598421958998375
ENSG00000006638.11	TBXA2R	3	1.0986122886681098
ENSG00000006652.13	IFRD1	688	6.5337888379333435
ENSG00000006695.10	COX10	190	5.247024072160486
ENSG00000006704.10	GTF2IRD1	593	6.385194398997726
ENSG00000006712.14	PAF1	478	6.169610732491456
ENSG00000006715.15	VPS41	990	6.897704943128636
ENSG00000006740.16	ARHGAP44	87	4.465908118654584
ENSG00000006744.18	ELAC2	686	6.530877627725885
ENSG00000006747.14	SCIN	18	2.8903717578961645
ENSG00000006756.15	ARSD	1196	7.086737934510577
ENSG00000006757.11	PNPLA4	216	5.375278407684165
ENSG00000006831.9	ADIPOR2	3046	8.021584533455107
ENSG00000006837.11	CDKL3	6	1.791759469228055
ENSG00000007038.10	PRSS21	2301	7.741099090035366
ENSG00000007047.14	MARK4	252	5.529429087511423
ENSG00000007062.11	PROM1	12	2.4849066497880004
ENSG00000007080.10	CCDC124	869	6.767343125265392
ENSG00000007168.12	PAFAH1B1	1275	7.150701457592526
ENSG00000007202.14	KIAA0100	2347	7.760893195851024
ENSG00000007237.18	GAS7	55	4.007333185232471
ENSG00000007255.10	TRAPPC6A	149	5.003946305945459
ENSG00000007264.14	MATK	118	4.770684624465665
ENSG00000007341.18	ST7L	263	5.572154032177765
ENSG00000007376.7	RPUSD1	327	5.7899601708972535
ENSG00000007384.15	RHBDF1	154	5.0369526024136295
ENSG00000007392.16	LUC7L	784	6.664409020350408
ENSG00000007402.11	CACNA2D2	14	2.6390573296152584
