Ensembl Gene Record	A778_D0_gene	A820_D0_gene	A870_D0_gene	A899_D0_gene
ENSG00000000419.12	1079	521	1140	1476
ENSG00000000457.13	354	234	182	376
ENSG00000000460.16	241	206	84	307
ENSG00000000938.12	46	62	31	41
ENSG00000000971.15	72	4090	124	20
ENSG00000001036.13	906	1148	530	1797
ENSG00000001084.12	985	419	675	1080
ENSG00000001167.14	1520	385	581	844
ENSG00000001460.17	194	176	115	191
ENSG00000001461.16	685	655	1301	1098
ENSG00000001497.16	285	908	443	1094
ENSG00000001561.6	734	671	623	858
ENSG00000001617.11	1222	590	375	1209
ENSG00000001626.15	19	15	31	94
ENSG00000001629.9	1775	976	1652	1825
ENSG00000001630.16	87	202	156	129
ENSG00000001631.15	247	277	478	387
ENSG00000002016.17	172	342	383	223
ENSG00000002079.14	1	4	0	1
ENSG00000002330.13	481	254	512	606
ENSG00000002549.12	865	1612	583	1084
ENSG00000002587.9	43	100	15	23
ENSG00000002726.20	1418	833	652	680
ENSG00000002745.12	0	0	0	4
ENSG00000002746.14	19	35	34	105
ENSG00000002822.15	563	385	198	808
ENSG00000002834.17	4972	10432	2200	7278
ENSG00000002919.14	361	98	292	443
ENSG00000002933.8	1234	111	278	794
ENSG00000003056.7	1305	1459	898	3286
ENSG00000003096.14	14	28	0	28
ENSG00000003137.8	2005	3746	62	55
ENSG00000003147.18	699	166	257	831
ENSG00000003249.13	370	143	217	603
ENSG00000003393.14	1478	553	511	938
ENSG00000003400.14	144	365	504	638
ENSG00000003402.19	3838	1867	2403	2195
ENSG00000003436.15	4	6	10	6
ENSG00000003509.15	375	205	319	401
ENSG00000003756.16	1155	2226	2061	1900
ENSG00000003987.13	201	22	21	12
ENSG00000003989.17	2896	284	102	10
ENSG00000004059.10	1150	673	1221	2581
ENSG00000004139.13	311	746	253	784
ENSG00000004142.11	881	772	777	2371
ENSG00000004399.12	1264	507	454	3320
ENSG00000004455.16	1478	3106	3629	3931
ENSG00000004468.12	25	9	9	13
ENSG00000004478.7	4554	8075	5564	8511
ENSG00000004487.16	1828	3067	2011	2690
ENSG00000004534.14	1423	3226	1205	2206
ENSG00000004660.14	231	142	122	523
ENSG00000004700.15	676	560	272	1258
ENSG00000004766.16	397	332	475	441
ENSG00000004776.12	19	0	101	446
ENSG00000004777.18	202	156	377	1511
ENSG00000004779.9	590	479	822	933
ENSG00000004799.7	420	944	280	593
ENSG00000004838.13	62	206	25	43
ENSG00000004846.16	0	2	8	46
ENSG00000004864.13	887	788	612	1436
ENSG00000004866.20	197	271	242	817
ENSG00000004897.11	886	596	915	1213
ENSG00000004939.14	0	1	0	3
ENSG00000004948.14	9	6	0	0
ENSG00000004961.14	145	631	219	349
ENSG00000004975.11	805	1409	470	1680
ENSG00000005001.9	1453	1056	557	669
